날짜,전표,갈래,거래처,품목명,규격,수량,단가,계정,왜 못 채웠나,후보 품목
"2026-08-18","260818-03","매입","한국농수산물유통공사","상차비","","750","14.3","500","그 이름의 품목이 없음",""
"2026-08-25","260825-01","매출","태백식품","상차비","kg","2250","14.3","800","그 이름의 품목이 없음",""
"2026-08-25","260825-01","매입","풍회유통","상차비","kg","2250","14.3","500","그 이름의 품목이 없음",""
"2026-08-25","260825-09","매입","한국농수산물유통공사","상차비","kg","2250","14.3","500","그 이름의 품목이 없음",""
"2026-09-01","260901-03","매입","한국농수산물유통공사","상차비","","5010","14.3","500","그 이름의 품목이 없음",""
"2026-08-10","260810-14","매입","호계","상품 및 서비스","","1","326834","505","그 이름의 품목이 없음",""
"2026-08-20","260820-16","매입","세스코","상품 및 서비스","","1","123000","595","그 이름의 품목이 없음",""
"2026-08-20","260820-02","매입","프린터 대여","상품 및 서비스","","1","33000","505","그 이름의 품목이 없음",""
"2026-08-20","260820-03","매입","세무사(기장료)","상품 및 서비스","","1","110000","505","그 이름의 품목이 없음",""
"2026-08-25","260825-10","매입","세스코","상품 및 서비스","","1","135000","595","그 이름의 품목이 없음",""
"2026-08-10","260810-16","매입","금호티앤씨","생수","","1","19900","525","그 이름의 품목이 없음",""
"2026-09-07","260907-009","매출","초당노인복지기관","선물세트(300ml) 2호","300ml","100","13500","800","그 이름의 품목이 없음",""
"2026-08-10","260810-13","매입","한프린텍","스티커","","1","107800","505","그 이름의 품목이 없음",""
"2026-08-12","260812-02","매출","세화식품","시골향 들깨가루(중간)/4kg","4kg","1","28000","800","그 이름의 품목이 없음",""
"2026-08-18","260818-13","매입","카드대금","신한","","1","1520000","650","그 이름의 품목이 없음",""
"2026-08-18","260818-13","매입","카드대금","우리","","1","590000","650","그 이름의 품목이 없음",""
"2026-08-19","260819-11","매입","한중교역","운임비","","1","-230000","605","그 이름의 품목이 없음",""
"2026-08-31","260831-01","매입","임대료","임대료","","1","4900000","510","그 이름의 품목이 없음",""
"2026-08-31","260831-07","매입","한전","전기세","","1","1233780","520","그 이름의 품목이 없음",""
"2026-09-04","260907-004","매입","형제프라콘","조미료용기대","","264","393.8","505","그 이름의 품목이 없음",""
"2026-08-26","260826-13","매입","형제프라콘","조미료캡","","528","198","505","그 이름의 품목이 없음",""
"2026-08-31","260831-01","매입","세금납부","주민세사업소분","","1","355000","530","그 이름의 품목이 없음",""
"2026-08-14","260814-03","매출","알이네식품","진참기름/A/1750ml","1800ml","36","18000","800","그 이름의 품목이 없음",""
"2026-08-03","260803-14","매입","차량 리스","차량 리스","","1","2344300","819","그 이름의 품목이 없음",""
"2026-08-19","260819-07","매출","**안사장님","차리스","","1","1255650","930","그 이름의 품목이 없음",""
"2026-08-13","260813-05","매출","해피유통(포천)","참기름/병/분/전통/300ml","300ml","1000","3500","800","그 이름의 품목이 없음",""
"2026-08-04","260804-03","매출","모란식품","참기름/병/특A/모란/350ml","350ml","200","4800","800","그 이름의 품목이 없음",""
"2026-08-04","260804-03","매출","모란식품","참기름/특/모란/1750ml","1750ml","120","18000","800","그 이름의 품목이 없음",""
"2026-08-20","260820-13","매입","카드대금","카드 세금납부 · 부가세","","1","1840000","255","그 이름의 품목이 없음",""
"2026-08-24","260824-01","매입","카드대금","카드 세금납부 · 부가세","","1","3110000","255","그 이름의 품목이 없음",""
"2026-08-31","260831-06","매입","카드대금","카드 세금납부 · 부가세","","1","80290","255","그 이름의 품목이 없음",""
"2026-08-20","260820-13","매입","카드대금","카드 세금납부 · 소득세","","1","1840000","338","그 이름의 품목이 없음",""
"2026-08-31","260831-06","매입","카드대금","카드 세금납부 · 소득세","","1","80290","338","그 이름의 품목이 없음",""
"2026-08-12","260812-06","매입","카드대금","카드대금","수협","1","3170077","650","그 이름의 품목이 없음",""
"2026-08-20","260820-14","매입","카드대금","카드대금","","1","340000","650","그 이름의 품목이 없음",""
"2026-08-25","260826-01","매입","카드대금","카드대금","국민 개인","1","53100","650","그 이름의 품목이 없음",""
"2026-09-01","260901-14","매입","카드대금","카드대금","","1","900000","650","그 이름의 품목이 없음",""
"2026-08-25","260825-12","매입","카드대금","카드세금(삼성 지방세)","","1","677214","650","그 이름의 품목이 없음",""
"2026-08-06","260806-07","매출","대왕푸드","택배비","","1","9000","800","그 이름의 품목이 없음",""
"2026-08-10","260810-10","매출","대왕푸드","택배비","","1","4500","800","그 이름의 품목이 없음",""
"2026-08-11","260811-05","매출","엄마랑 빈대떡, 선식","택배비","","2","4500","800","그 이름의 품목이 없음",""
"2026-08-12","260812-08","매입","호계","택배비","","1","18000","505","그 이름의 품목이 없음",""
"2026-08-18","260818-14","매입","한진택배","택배비","","1","651880","605","그 이름의 품목이 없음",""
"2026-08-28","260828-10","매입","기타","택배비","","1","50000","500","그 이름의 품목이 없음",""
"2026-09-04","260904-006","매출","대왕푸드","택배비","","3","4500","800","그 이름의 품목이 없음",""
"2026-09-07","260907-024","매출","대왕푸드","택배비","","2","4500","800","그 이름의 품목이 없음",""
"2026-08-03","260803-12","매입","수입","통관비","","1","15026550","503","그 이름의 품목이 없음",""
"2026-08-25","260826-04","매입","공과금","통신료","","1","77730","605","그 이름의 품목이 없음",""
"2026-08-12","가공260812-01","매입","푸미푸드","포장박스 10kg - 과세","ea","68","1000","505","그 이름의 품목이 없음",""
"2026-08-12","가공260812-01","매입","푸미푸드","포장박스 20kg - 과세","ea","37","1300","505","그 이름의 품목이 없음",""
"2026-09-04","260907-004","매입","형제프라콘","필터","","1","123750","505","그 이름의 품목이 없음",""
"2026-08-11","260811-06","매입","카드대금","현대","","1","300000","650","그 이름의 품목이 없음",""
"2026-08-18","260818-11","매출","(유)에스제이엠","화물비","","1","137500","800","그 이름의 품목이 없음",""
"2026-08-31","260831-05","매입","전국화물","화물비","","1","2497000","605","그 이름의 품목이 없음",""
"2026-08-20","260820-15","매입","보험료","화재보험료","","1","169800","590","그 이름의 품목이 없음",""
"2026-08-05","260805-10","매출","일성상회","시골향 참기름/특A/1750ml","1750ml","40","20000","800","후보 1개로 안 좁혀짐","p-25(재고 0)"
"2026-08-10","260810-08","매출","일성상회","시골향 참기름/특A/1750ml","1750ml","20","20000","800","후보 1개로 안 좁혀짐","p-25(재고 0)"
"2026-08-20","260820-07","매출","농가식품(일산현대)","시골향 참기름/특A/1750ml","1750ml * 1","100","19000","800","후보 1개로 안 좁혀짐","p-25(재고 0)"
"2026-08-10","260810-08","매출","일성상회","시골향 참기름/A/1750ml","1750ml","30","18000","800","후보 2개로 안 좁혀짐","p-106(재고 0) | p-116(재고 0)"
"2026-08-19","260819-03","매출","용두쭈구미(일산점)","시골향 참기름/A/1750ml","1750ml * 1","12","19000","800","후보 2개로 안 좁혀짐","p-106(재고 0) | p-116(재고 0)"
"2026-09-01","260901-15","매출","청정식품","시골향참기름/특A/1800ml","1800ml","36","19000","800","후보 2개로 안 좁혀짐","p-121(재고 0) | p-1777096833351(재고 0)"
"2026-08-21","260821-04","매출","용두쭈꾸미 본점","시골향참기름/A/1750ml","1750ml * 1","12","19000","800","후보 2개로 안 좁혀짐","p-106(재고 0) | p-116(재고 0)"
"2026-08-27","260827-07","매출","현대유통(원주)","시골향참기름/A/1750ml","1750ml","30","18000","800","후보 2개로 안 좁혀짐","p-106(재고 0) | p-116(재고 0)"
"2026-09-07","260907-024","매출","대왕푸드","탈피들깨가루/1kg","1kg","2","7500","800","후보 2개로 안 좁혀짐","p-1774415984653(재고 0) | p-1774849779025(재고 0)"
